link,title
https://www.theatlantic.com/politics/archive/2025/03/an-administrative-error-sends-a-man-to-a-salvadoran-prison/682254/,An ‘Administrative Error’ Sends a Maryland Father to a Salvadoran Prison - The Trump administration says that it mistakenly deported an immigrant with protected status but that courts are powerless to order his return.
https://www.theatlantic.com/politics/archive/2025/03/trump-third-term/682243/,Why Trump Says He’s ‘Not Joking’ About a Third Term - The prospect of smashing imagined limits on his power gives him an obvious thrill.
https://www.theatlantic.com/politics/archive/2025/03/steven-cheung-voice-trump/682211/,Steven Cheung Is the Voice of Trump - The White House communications chief has a strategy: relentless aggression.
https://www.theatlantic.com/magazine/archive/2025/05/viktor-orban-hungary-maga-corruption/682111/,"America’s Future Is Hungary - MAGA conservatives love Viktor Orbán. But he’s left his country corrupt, stagnant, and impoverished."
https://www.theatlantic.com/politics/archive/2025/03/ice-flight-tracker-deportations/682226/,The Retired J.P. Morgan Executive Tracking Trump’s Deportation Flights - A CFO turned activist has become a go-to source for understanding the administration’s immigration crackdown.
https://www.theatlantic.com/politics/archive/2025/03/trump-hegseth-waltz-signal/682220/,"The Double Standard at the Center of the Signal Debacle - As senior officials deny wrongdoing, rank-and-file national-security personnel worry about the dangers if no one is held accountable."
https://www.theatlantic.com/politics/archive/2025/03/marjorie-taylor-greene-npr-pbs/682205/,It’s Not Easy Being (Marjorie Taylor) Greene - A goofy Washington tradition devolves.
https://www.theatlantic.com/politics/archive/2025/03/signal-group-chat-attack-plans-hegseth-goldberg/682176/,Here Are the Attack Plans That Trump’s Advisers Shared on Signal - The administration has downplayed the importance of the text messages inadvertently sent to The Atlantic’s editor in chief.
https://www.theatlantic.com/politics/archive/2025/03/trump-cabinet-security-leak/682172/,A Rare Moment of Bipartisan Disbelief - Washington gets a good old-fashioned scandal.
https://www.theatlantic.com/politics/archive/2025/03/trump-signal-jeff-goldberg-texts/682175/,"Trump Goes After the Messenger - The president is privately upset with the sloppiness of his advisers. Publicly, he’s focused on attacking the press."
https://www.theatlantic.com/magazine/archive/2025/05/trump-worldview-rubio-johnson-graham/682110/,The Hollow Men - It takes a special talent to betray an entire worldview without missing a beat.
https://www.theatlantic.com/politics/archive/2025/03/united-states-trump-fear/682159/,The United States of Fear - For anyone who’s in the president’s crosshairs—or who could be—it’s the dominant emotion of Trump’s second term.
https://www.theatlantic.com/politics/archive/2025/03/trump-administration-accidentally-texted-me-its-war-plans/682151/,The Trump Administration Accidentally Texted Me Its War Plans - U.S. national-security leaders included me in a group chat about upcoming military strikes in Yemen. I didn’t think it could be real. Then the bombs started falling.
https://www.theatlantic.com/magazine/archive/2025/05/trump-executive-order-lawlessness-constitutional-crisis/682112/,"America Is Watching the Rise of a Dual State - For most people, the courts will continue to operate as usual—until they don’t."
https://www.theatlantic.com/politics/archive/2025/03/trump-musk-doge-social-security/682131/,Musk Comes for the ‘Third Rail of American Politics’ - Donald Trump promised to protect Social Security. Elon Musk didn’t.
https://www.theatlantic.com/politics/archive/2025/03/kennedy-center-trump-cancellations/682106/,"The Kennedy Center Performers Who Didn’t Cancel - When does quitting count as resistance, and when is it surrender?"
https://www.theatlantic.com/politics/archive/2025/03/stephen-miller-presidency/682097/,Stephen Miller Has a Plan - The White House point person on immigration is pursuing a strategy that is bedeviling his opponents and could provoke a constitutional crisis.
https://www.theatlantic.com/politics/archive/2025/03/congress-doge-spending-tom-cole/682089/,Even Tom Cole Is Defending DOGE - “A Republican House is not going to chain down a Republican president.”
https://www.theatlantic.com/politics/archive/2025/03/putin-trump-ceasefire-proposal/682092/,Trump Gets a Taste of Putin’s Tactics - The Russian leader is offering few concessions in negotiations over Ukraine. How hard is Trump willing to push for the peace he promises?
https://www.theatlantic.com/politics/archive/2025/03/trump-alien-enemies-act/682068/,The Ultimate Trump Story - The president’s dangerous tendencies are now magnifying one another in a uniquely risky way.
https://www.theatlantic.com/politics/archive/2025/03/trump-tariffs-high-prices/682057/,How Republicans Learned to Love High Prices - Donald Trump’s allies have pivoted from denying that his tariffs will hurt consumers to insisting that consumers should welcome the pain.
https://www.theatlantic.com/magazine/archive/2025/04/brown-v-board-of-education-integrated-noliwe-rooks-book/681766/,The Rise of the Brown v. Board of Education Skeptics - Why some mainstream Black intellectuals are giving up on the landmark decision
